id,liveness,loudness,analysis_url,valence,mode,speechiness,tempo,key,type,acousticness,time_signature,uri,energy,track_href,duration_ms,danceability,instrumentalness
2cF6aUShQcNWVnksMh5mKk,0.215,-8.443,https://api.spotify.com/v1/audio-analysis/2cF6aUShQcNWVnksMh5mKk,0.224,1,0.027,88.94,7,audio_features,0.341,4,spotify:track:2cF6aUShQcNWVnksMh5mKk,0.6,https://api.spotify.com/v1/tracks/2cF6aUShQcNWVnksMh5mKk,263595,0.528,0.013
6N5WkgPIDoTdbCXyyIIKAv,0.0734,-7.909,https://api.spotify.com/v1/audio-analysis/6N5WkgPIDoTdbCXyyIIKAv,0.942,1,0.0424,118.003,7,audio_features,0.117,4,spotify:track:6N5WkgPIDoTdbCXyyIIKAv,0.341,https://api.spotify.com/v1/tracks/6N5WkgPIDoTdbCXyyIIKAv,157246,0.889,3.7e-06
0UZLaEOSIc5kg0cc7eszqC,0.104,-7.478,https://api.spotify.com/v1/audio-analysis/0UZLaEOSIc5kg0cc7eszqC,0.368,0,0.0427,169.882,11,audio_features,0.674,4,spotify:track:0UZLaEOSIc5kg0cc7eszqC,0.515,https://api.spotify.com/v1/tracks/0UZLaEOSIc5kg0cc7eszqC,191647,0.524,0.0
3JpCEsowGqogUvTAKA4JuW,0.1,-4.8,https://api.spotify.com/v1/audio-analysis/3JpCEsowGqogUvTAKA4JuW,0.546,0,0.0283,137.839,7,audio_features,0.773,4,spotify:track:3JpCEsowGqogUvTAKA4JuW,0.662,https://api.spotify.com/v1/tracks/3JpCEsowGqogUvTAKA4JuW,217000,0.661,1.54e-06
3gOlVEwSmsrqKt590wbWt3,0.162,-6.428,https://api.spotify.com/v1/audio-analysis/3gOlVEwSmsrqKt590wbWt3,0.283,0,0.0459,141.985,3,audio_features,0.407,4,spotify:track:3gOlVEwSmsrqKt590wbWt3,0.599,https://api.spotify.com/v1/tracks/3gOlVEwSmsrqKt590wbWt3,202964,0.745,0.0
4eArIrMsptXvjYgSKf6Nz4,0.167,-4.609,https://api.spotify.com/v1/audio-analysis/4eArIrMsptXvjYgSKf6Nz4,0.672,0,0.0447,95.02,11,audio_features,0.487,4,spotify:track:4eArIrMsptXvjYgSKf6Nz4,0.592,https://api.spotify.com/v1/tracks/4eArIrMsptXvjYgSKf6Nz4,199579,0.695,0.0
36lwb3WLh089A704fJDT9M,0.18,-4.984,https://api.spotify.com/v1/audio-analysis/36lwb3WLh089A704fJDT9M,0.699,0,0.165,169.952,4,audio_features,0.406,4,spotify:track:36lwb3WLh089A704fJDT9M,0.719,https://api.spotify.com/v1/tracks/36lwb3WLh089A704fJDT9M,204706,0.774,0.0
4AR1na46nYoPXPmNRgciUH,0.132,-5.487,https://api.spotify.com/v1/audio-analysis/4AR1na46nYoPXPmNRgciUH,0.49,1,0.0369,97.935,5,audio_features,0.237,4,spotify:track:4AR1na46nYoPXPmNRgciUH,0.589,https://api.spotify.com/v1/tracks/4AR1na46nYoPXPmNRgciUH,248590,0.395,0.0
62aP9fBQKYKxi7PDXwcUAS,0.393,-7.567,https://api.spotify.com/v1/audio-analysis/62aP9fBQKYKxi7PDXwcUAS,0.33,0,0.0892,112.05,11,audio_features,0.0686,4,spotify:track:62aP9fBQKYKxi7PDXwcUAS,0.774,https://api.spotify.com/v1/tracks/62aP9fBQKYKxi7PDXwcUAS,176547,0.674,0.00188
1fzAokzOONl4XEPUFoammu,0.172,-8.744,https://api.spotify.com/v1/audio-analysis/1fzAokzOONl4XEPUFoammu,0.415,1,0.0326,122.925,3,audio_features,0.557,4,spotify:track:1fzAokzOONl4XEPUFoammu,0.519,https://api.spotify.com/v1/tracks/1fzAokzOONl4XEPUFoammu,341055,0.562,0.000268
2alc8VZAzDgdAsL2QMk3hu,0.108,-9.727,https://api.spotify.com/v1/audio-analysis/2alc8VZAzDgdAsL2QMk3hu,0.274,1,0.0877,100.008,1,audio_features,0.26,4,spotify:track:2alc8VZAzDgdAsL2QMk3hu,0.327,https://api.spotify.com/v1/tracks/2alc8VZAzDgdAsL2QMk3hu,106000,0.903,0.011
4xmkpE1Si5JL7NFxWrhV0S,0.126,-3.932,https://api.spotify.com/v1/audio-analysis/4xmkpE1Si5JL7NFxWrhV0S,0.277,0,0.059,155.867,11,audio_features,0.176,4,spotify:track:4xmkpE1Si5JL7NFxWrhV0S,0.854,https://api.spotify.com/v1/tracks/4xmkpE1Si5JL7NFxWrhV0S,299822,0.468,0.0
1IWNylpZ477gIVUDpJL66u,0.489,-3.812,https://api.spotify.com/v1/audio-analysis/1IWNylpZ477gIVUDpJL66u,0.784,0,0.0623,120.006,9,audio_features,0.0604,4,spotify:track:1IWNylpZ477gIVUDpJL66u,0.87,https://api.spotify.com/v1/tracks/1IWNylpZ477gIVUDpJL66u,157707,0.752,1.12e-05
0VjIjW4GlUZAMYd2vXMi3b,0.0897,-5.934,https://api.spotify.com/v1/audio-analysis/0VjIjW4GlUZAMYd2vXMi3b,0.334,1,0.0598,171.005,1,audio_features,0.00146,4,spotify:track:0VjIjW4GlUZAMYd2vXMi3b,0.73,https://api.spotify.com/v1/tracks/0VjIjW4GlUZAMYd2vXMi3b,200040,0.514,9.54e-05
2rRJrJEo19S2J82BDsQ3F7,0.0887,-8.756,https://api.spotify.com/v1/audio-analysis/2rRJrJEo19S2J82BDsQ3F7,0.236,0,0.0364,127.087,10,audio_features,0.123,4,spotify:track:2rRJrJEo19S2J82BDsQ3F7,0.43,https://api.spotify.com/v1/tracks/2rRJrJEo19S2J82BDsQ3F7,159382,0.784,0.0
6sFHGU3pLZS9RJFdCoTiaN,0.0655,-5.201,https://api.spotify.com/v1/audio-analysis/6sFHGU3pLZS9RJFdCoTiaN,0.937,0,0.0528,135.048,1,audio_features,0.0751,4,spotify:track:6sFHGU3pLZS9RJFdCoTiaN,0.765,https://api.spotify.com/v1/tracks/6sFHGU3pLZS9RJFdCoTiaN,185536,0.842,0.0
3cIwNiuOR3l2A0Uc58Bv70,0.0449,-7.792,https://api.spotify.com/v1/audio-analysis/3cIwNiuOR3l2A0Uc58Bv70,0.561,1,0.44,177.807,1,audio_features,0.187,4,spotify:track:3cIwNiuOR3l2A0Uc58Bv70,0.692,https://api.spotify.com/v1/tracks/3cIwNiuOR3l2A0Uc58Bv70,188764,0.757,0.0
2pJZ1v8HezrAoZ0Fhzby92,0.262,-5.69,https://api.spotify.com/v1/audio-analysis/2pJZ1v8HezrAoZ0Fhzby92,0.895,0,0.038,115.092,1,audio_features,0.251,4,spotify:track:2pJZ1v8HezrAoZ0Fhzby92,0.492,https://api.spotify.com/v1/tracks/2pJZ1v8HezrAoZ0Fhzby92,237333,0.838,0.0
0F7FA14euOIX8KcbEturGH,0.101,-6.112,https://api.spotify.com/v1/audio-analysis/0F7FA14euOIX8KcbEturGH,0.507,1,0.127,135.998,1,audio_features,0.0578,4,spotify:track:0F7FA14euOIX8KcbEturGH,0.53,https://api.spotify.com/v1/tracks/0F7FA14euOIX8KcbEturGH,113000,0.907,2.23e-06
